rep,run,shelf,plate,line,trt,read time,start,end,start count,end count,germinated,notes
1,1,6,186,137-2,10,1/22/16 8:34,54.07,102.07,0,3,3,
1,1,8,258,137-2,15,,440.4,Inf,7,10,3,
1,1,1,36,138-1,15,,437.63,Inf,7,10,3,
1,1,7,234,138-1,0,1/22/16 8:41,54.13,102.18,0,3,3,
1,1,3,83,139-1,0,1/24/16 8:56,101.98,150.43,0,3,3,
1,1,3,83,139-1,0,1/26/16 8:43,150.43,198.22,3,6,3,
1,1,3,83,139-1,0,,437.9,Inf,7,10,3,
1,1,3,89,139-1,10,1/24/16 8:56,101.98,150.43,0,3,3,
1,1,9,317,139-1,15,1/28/16 8:50,198.62,246.33,2,5,3,
1,1,1,33,142-2,0,1/26/16 8:37,150.33,198.12,3,6,3,
1,1,7,230,142-2,15,1/26/16 8:59,150.62,198.48,0,3,3,
1,1,9,309,142-2,10,1/24/16 9:14,102.32,150.73,0,3,3,
1,1,9,309,142-2,10,,440.62,Inf,7,10,3,
1,1,6,182,143-1,20,1/28/16 8:45,198.43,246.25,5,8,3,
1,1,3,94,144-1,20,,437.9,Inf,7,10,3,
1,1,4,141,144-1,0,1/24/16 8:59,101.98,150.48,0,3,3,
1,1,7,236,144-1,15,1/24/16 9:07,102.18,150.62,0,3,3,
1,1,7,236,144-1,15,,440.23,Inf,7,10,3,
1,2,1,29,144-2,10,2/13/16 8:26,60.58,108.43,0,3,3,
1,1,3,86,149-1,10,1/24/16 8:56,101.98,150.43,4,7,3,
1,1,9,302,149-1,15,,440.62,Inf,7,10,3,
1,1,8,265,149-2,10,1/24/16 9:10,102.28,150.67,0,3,3,
1,1,8,265,149-2,10,,440.4,Inf,7,10,3,
1,2,2,53,151-1,15,2/13/16 8:29,60.37,108.23,0,3,3,
1,1,1,21,151-2,10,1/22/16 8:24,54,101.9,0,3,3,
1,1,3,84,151-2,20,1/26/16 8:43,150.43,198.22,0,3,3,
1,1,7,242,151-2,0,1/24/16 9:07,102.18,150.62,0,3,3,
1,2,1,34,152-1,0,2/13/16 8:26,60.58,108.43,0,3,3,
1,1,7,226,153-2,0,1/22/16 8:41,54.13,102.18,0,3,3,
1,1,9,296,153-2,15,1/24/16 9:14,102.32,150.73,0,3,3,
