,sampleid,line,rep,run,shelf,plate,trt,type,end,status,germinated,pedigree,planting.date,landrace.abb,loc_id,region,pop,population.type,landrace.name,cultivation,main.use
128,CanAbasolo1,215-2,2,3,4,132,0,E3,158.2,1,5,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
129,CanAbasolo1,215-2,2,3,4,111,20,E3,497.5,0,7,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
130,CanAbasolo1,215-2,1,1,9,307,15,E3,150.7333333,1,6,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
131,CanAbasolo1,215-2,3,5,9,291,20,E3,254,1,2,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
132,CanAbasolo1,215-2,1,1,9,307,15,E3,150.7333333,1,6,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
133,CanAbasolo1,215-2,5,5,8,261,15,E3,522,0,1,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
134,CanAbasolo1,215-2,2,3,4,137,10,E3,61.3,1,1,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
135,CanAbasolo1,215-2,2,3,4,111,20,E3,497.5,0,7,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
136,CanAbasolo1,215-2,1,1,9,307,15,E3,150.7333333,1,6,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
137,CanAbasolo1,215-2,1,1,7,228,0,E3,542.5,0,7,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
138,CanAbasolo1,215-1,2,3,8,269,0,E3,157.05,1,4,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
139,CanAbasolo1,215-1,2,3,5,170,10,E3,157.5,1,6,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
140,CanAbasolo1,215-1,1,1,3,96,0,E3,150.4333333,1,2,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
141,CanAbasolo1,215-1,1,1,3,78,15,E3,542.5,0,7,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
142,CanAbasolo1,215-1,2,3,5,170,10,E3,157.5,1,6,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
143,CanAbasolo1,215-1,1,1,7,237,10,E3,246.2833333,1,1,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
144,CanAbasolo1,215-1,2,3,5,170,10,E3,60.45,1,2,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
145,CanAbasolo1,215-1,2,3,5,170,10,E3,157.5,1,6,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
146,CanAbasolo1,215-1,2,3,8,269,0,E3,157.05,1,4,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
147,CanAbasolo1,215-1,2,3,8,269,0,E3,497.5,0,6,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
148,CanAbasolo1,215-1,1,1,7,237,10,E3,102.1833333,1,4,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
149,CanAbasolo1,215-2,2,3,4,111,20,E3,497.5,0,7,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
150,CanAbasolo1,215-2,3,5,3,78,10,E3,522,0,4,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
151,CanAbasolo1,215-2,2,3,4,121,15,E3,158.2,1,3,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
152,CanAbasolo1,215-2,1,1,7,228,0,E3,542.5,0,7,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
153,CanAbasolo1,215-2,1,1,7,228,0,E3,542.5,0,7,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
154,CanAbasolo1,215-2,3,5,9,291,20,E3,352,1,1,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
