rep,run,shelf,plate,line,trt,type,end,status,germinated,,
4,7,2,47,106-1,10,,298.75,1,0,,
4,7,2,47,106-1,10,,344.75,1,0,,
4,7,2,47,106-1,10,,396,1,0,,
4,7,2,47,106-1,10,,445,1,0,,
4,7,2,47,106-1,10,,502.75,1,0,,
4,7,2,47,106-1,10,,Inf,1,3,,
4,7,2,48,208-1,10,,59.5,1,0,,
4,7,2,48,208-1,10,,107.3333333,1,0,,
4,7,2,48,208-1,10,,153.75,1,1,,
4,7,2,48,208-1,10,,203.6666667,1,0,,
4,7,2,48,208-1,10,,253,1,3,,
4,7,2,48,208-1,10,,298.75,1,1,,
4,7,2,48,208-1,10,,344.75,1,1,,
4,7,2,48,208-1,10,,396,1,1,,
4,7,2,48,208-1,10,,445,1,1,,
4,7,2,48,208-1,10,,501,1,0,,
4,7,2,48,208-1,10,,Inf,1,2,,
4,7,2,49,129-1,0,,59.5,1,NA,,
4,7,2,49,129-1,0,,107.3333333,1,NA,,
4,7,2,49,129-1,0,,153.75,1,NA,,
4,7,2,49,129-1,0,,203.6666667,1,NA,,
4,7,2,49,129-1,0,,253,1,NA,,
4,7,2,49,129-1,0,,298.75,1,NA,,
4,7,2,49,129-1,0,,344.75,1,NA,,
4,7,2,49,129-1,0,,396,1,NA,,
4,7,2,49,129-1,0,,445,1,NA,,
4,7,2,49,129-1,0,,502.75,1,NA,,
4,7,2,49,129-1,0,,Inf,1,NA,,
4,7,2,50,75-1,0,,59.5,1,0,,
4,7,2,50,75-1,0,,107.3333333,1,0,,
4,7,2,50,75-1,0,,153.75,1,1,,
4,7,2,50,75-1,0,,203.6666667,1,0,,
4,7,2,50,75-1,0,,253,1,6,,
4,7,2,50,75-1,0,,298.75,1,0,,
4,7,2,50,75-1,0,,344.75,1,2,,
4,7,2,50,75-1,0,,396,1,0,,
4,7,2,50,75-1,0,,445,1,0,,
4,7,2,50,75-1,0,,501,1,0,,
4,7,2,50,75-1,0,,Inf,1,0,,
4,7,2,52,156-2,10,,59.5,1,0,,
4,7,2,52,156-2,10,,107.3333333,1,0,,
4,7,2,52,156-2,10,,153.75,1,0,,
4,7,2,52,156-2,10,,203.6666667,1,0,,
4,7,2,52,156-2,10,,253,1,2,,
4,7,2,52,156-2,10,,298.75,1,0,,
4,7,2,52,156-2,10,,344.75,1,1,,
4,7,2,52,156-2,10,,396,1,1,,
4,7,2,52,156-2,10,,445,1,1,,
4,7,2,52,156-2,10,,501,1,1,,
4,7,2,52,156-2,10,,Inf,1,4,,
4,7,2,54,126-2,15,,59.5,1,0,,
4,7,2,54,126-2,15,,107.3333333,1,0,,
4,7,2,54,126-2,15,,153.75,1,0,,
4,7,2,54,126-2,15,,203.6666667,1,0,,
4,7,2,54,126-2,15,,253,1,0,,
4,7,2,54,126-2,15,,298.75,1,0,,
4,7,2,54,126-2,15,,344.75,1,0,,
4,7,2,54,126-2,15,,396,1,0,,
4,7,2,54,126-2,15,,445,1,0,,
4,7,2,54,126-2,15,,502.75,1,0,,
4,7,2,54,126-2,15,,Inf,1,3,,
4,7,2,55,107-2,10,,59.5,1,0,,
4,7,2,55,107-2,10,,107.3333333,1,0,,
4,7,2,55,107-2,10,,153.75,1,1,,
4,7,2,55,107-2,10,,203.6666667,1,0,,
4,7,2,55,107-2,10,,253,1,5,,
4,7,2,55,107-2,10,,298.75,1,4,,
4,7,2,55,107-2,10,,344.75,1,0,,
4,7,2,55,107-2,10,,396,1,0,,
4,7,2,55,107-2,10,,445,1,0,,
4,7,2,55,107-2,10,,502.75,1,0,,
4,7,2,55,107-2,10,,Inf,1,0,,
4,7,2,56,139-2,20,,59.5,1,0,,
4,7,2,56,139-2,20,,107.3333333,1,0,,
4,7,2,56,139-2,20,,153.75,1,0,,
4,7,2,56,139-2,20,,203.6666667,1,1,,
4,7,2,56,139-2,20,,253,1,0,,
4,7,2,56,139-2,20,,298.75,1,1,,
4,7,2,56,139-2,20,,344.75,1,0,,
4,7,2,56,139-2,20,,396,1,1,,
4,7,2,56,139-2,20,,445,1,0,,
4,7,2,56,139-2,20,,501,1,0,,
4,7,2,56,139-2,20,,Inf,1,3,,
4,7,2,57,149-2,10,,59.5,1,0,,
4,7,2,57,149-2,10,,107.3333333,1,0,,
