,sampleid,line,X,rep,run,shelf,plate,trt,end,status,number,pedigree,planting.date,landrace.abb,region,pop,population.type,landrace.name,cultivation,main.use,uniqueplate
358,CanAnil3,77-1,7104,4,7,1,25,10,203.7,1,3,14CRo77-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,7_25
362,CanAnil3,77-1,103.5,1,1,1,29,0,150.3,1,10,14CRo77-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,1_29
363,CanAnil3,77-1,3173.2,2,3,9,295,15,156.7,1,10,14CRo77-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,3_295
365,CanAnil3,77-2,3163.5,2,3,8,288,15,157.1,1,10,14CRo77-2,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,3_288
366,CanAnil3,77-2,7746,4,7,6,202,15,253,1,1,14CRo77-2,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,7_202
367,CanAnil3,77-2,5318.2,3,5,8,278,15,156.8,1,3,14CRo77-2,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,5_278
369,CanAnil3,77-2,1867.4,1,2,6,212,15,155.5,1,9,14CRo77-2,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,2_212
370,CanAnil3,77-2,1325.2,1,2,2,68,20,156.2,1,3,14CRo77-2,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,2_68
372,CanAnil3,77-2,7743,4,7,6,202,15,107.3,1,2,14CRo77-2,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,7_202
374,CanAnil3,77-2,1867.3,1,2,6,212,15,155.5,1,9,14CRo77-2,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,2_212
376,CanAnil3,77-2,7745.1,4,7,6,202,15,203.7,1,6,14CRo77-2,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,7_202
377,CanAnil3,77-2,3163.6,2,3,8,288,15,157.1,1,10,14CRo77-2,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,3_288
378,CanAnil3,77-2,2677.4,2,3,4,120,20,158.2,1,10,14CRo77-2,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,3_120
379,CanAnil3,77-2,7745.3,4,7,6,202,15,203.7,1,6,14CRo77-2,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,7_202
381,CanAnil3,77-2,2677.5,2,3,4,120,20,158.2,1,10,14CRo77-2,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,3_120
382,CanAnil3,77-2,2068,1,2,8,265,0,155.3,1,4,14CRo77-2,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,2_265
383,CanAnil3,77-2,3163.8,2,3,8,288,15,157.1,1,10,14CRo77-2,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,3_288
385,CanAnil3,77-2,3163.7,2,3,8,288,15,157.1,1,10,14CRo77-2,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,3_288
386,CanAnil3,77-2,7745.2,4,7,6,202,15,203.7,1,6,14CRo77-2,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,7_202
387,CanAnil3,77-2,5317,3,5,8,278,15,109.5,1,7,14CRo77-2,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,5_278
388,CanAnil3,77-2,2677.3,2,3,4,120,20,158.2,1,10,14CRo77-2,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,3_120
389,CanAnil3,77-2,1867.7,1,2,6,212,15,155.5,1,9,14CRo77-2,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,2_212
390,CanAnil3,77-2,3163.9,2,3,8,288,15,157.1,1,10,14CRo77-2,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,3_288
391,CanAnil3,77-2,2067.4,1,2,8,265,0,107.2,1,5,14CRo77-2,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,2_265
393,CanAnil3,77-2,7745,4,7,6,202,15,203.7,1,6,14CRo77-2,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,7_202
396,CanAnil3,77-2,1325,1,2,2,68,20,156.2,1,3,14CRo77-2,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,2_68
397,CanAnil3,77-2,1867.8,1,2,6,212,15,155.5,1,9,14CRo77-2,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,2_212
398,CanAnil3,77-2,2677.2,2,3,4,120,20,158.2,1,10,14CRo77-2,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,3_120
400,CanAnil3,77-2,1326.1,1,2,2,68,20,206.2,1,5,14CRo77-2,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,2_68
401,CanAnil3,77-2,2677.8,2,3,4,120,20,158.2,1,10,14CRo77-2,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,3_120
402,CanAnil3,77-2,5318,3,5,8,278,15,156.8,1,3,14CRo77-2,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,5_278
403,CanAnil3,77-2,3163.2,2,3,8,288,15,157.1,1,10,14CRo77-2,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,3_288
404,CanAnil3,77-2,2069,1,2,8,265,0,205.5,1,1,14CRo77-2,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,2_265
405,CanAnil3,77-2,2068.3,1,2,8,265,0,155.3,1,4,14CRo77-2,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,2_265
406,CanAnil3,77-2,2068.2,1,2,8,265,0,155.3,1,4,14CRo77-2,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,2_265
408,CanAnil3,77-2,1867,1,2,6,212,15,155.5,1,9,14CRo77-2,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,2_212
411,CanAnil3,77-2,2067.3,1,2,8,265,0,107.2,1,5,14CRo77-2,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,2_265
412,CanAnil3,77-2,1326.3,1,2,2,68,20,206.2,1,5,14CRo77-2,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,2_68
413,CanAnil3,77-2,2677.7,2,3,4,120,20,158.2,1,10,14CRo77-2,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,3_120
414,CanAnil3,77-2,1867.6,1,2,6,212,15,155.5,1,9,14CRo77-2,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,2_212
416,CanAnil3,77-2,3163,2,3,8,288,15,157.1,1,10,14CRo77-2,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,3_288
420,CanAnil3,77-2,7743.1,4,7,6,202,15,107.3,1,2,14CRo77-2,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,7_202
