,sampleid,line,rep,run,shelf,plate,trt,end,status,germinated,pedigree,planting.date,landrace.abb,loc_id,region,pop,population.type,landrace.name,cultivation,main.use
126,CanAbasolo1,215-1,1,1,7,245,20,295.3833333,1,1,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
127,CanAbasolo1,215-1,3,6,3,94,20,215.66,0,4,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
128,CanAbasolo1,215-1,2,3,3,78,20,497.5,0,3,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
129,CanAbasolo1,215-1,2,3,9,322,15,156.7,1,6,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
130,CanAbasolo1,215-1,3,6,3,94,20,Inf,1,1,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
131,CanAbasolo1,215-1,1,1,3,96,0,542.5,0,4,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
132,CanAbasolo1,215-1,1,1,3,78,15,542.5,0,7,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
133,CanAbasolo1,215-1,2,3,3,78,20,350.3833333,1,1,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
134,CanAbasolo1,215-1,3,6,2,37,15,120.03,0,2,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
135,CanAbasolo1,215-1,2,3,8,269,0,497.5,0,6,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
136,CanAbasolo1,215-1,4,8,6,207,0,308.5,1,1,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
137,CanAbasolo1,215-1,3,6,7,248,10,120.03,1,3,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
138,CanAbasolo1,215-1,2,3,5,170,10,157.5,1,6,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
139,CanAbasolo1,215-1,2,3,9,322,15,497.5,0,4,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
140,CanAbasolo1,215-1,2,3,3,78,20,157.8666667,1,3,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
141,CanAbasolo1,215-1,3,6,2,37,15,167.99,1,2,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
142,CanAbasolo1,215-1,4,8,6,207,0,356.75,0,3,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
143,CanAbasolo1,215-1,4,8,6,207,0,211,0,3,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
