"","rep","run","shelf","plate","line","trt","end","status","viable","number"
"160.1",1,1,2,42,"Johnny's",15,245.9666667,1,1,2
"161",1,1,2,42,"Johnny's",15,294.9833333,1,1,2
"161.1",1,1,2,42,"Johnny's",15,294.9833333,1,1,2
"162",1,1,2,42,"Johnny's",15,437.6333333,1,1,2
"162.1",1,1,2,42,"Johnny's",15,437.6333333,1,1,2
"163",1,1,2,42,"Johnny's",15,542.5,0,1,1
"164",1,1,2,42,"Johnny's",15,542.5,0,0,3
"164.1",1,1,2,42,"Johnny's",15,542.5,0,0,3
"164.2",1,1,2,42,"Johnny's",15,542.5,0,0,3
"165",1,1,2,43,"100-1",20,542.5,0,1,9
"165.1",1,1,2,43,"100-1",20,542.5,0,1,9
"165.2",1,1,2,43,"100-1",20,542.5,0,1,9
"165.3",1,1,2,43,"100-1",20,542.5,0,1,9
"165.4",1,1,2,43,"100-1",20,542.5,0,1,9
"165.5",1,1,2,43,"100-1",20,542.5,0,1,9
"165.6",1,1,2,43,"100-1",20,542.5,0,1,9
"165.7",1,1,2,43,"100-1",20,542.5,0,1,9
"165.8",1,1,2,43,"100-1",20,542.5,0,1,9
"166",1,1,2,43,"100-1",20,542.5,0,0,1
"167",1,1,2,44,"186-1",10,54,1,1,1
"168",1,1,2,44,"186-1",10,150.4,1,1,3
"168.1",1,1,2,44,"186-1",10,150.4,1,1,3
"168.2",1,1,2,44,"186-1",10,150.4,1,1,3
"169",1,1,2,44,"186-1",10,198.1666667,1,1,1
"170",1,1,2,44,"186-1",10,542.5,0,1,2
"170.1",1,1,2,44,"186-1",10,542.5,0,1,2
"171",1,1,2,44,"186-1",10,542.5,0,0,3
"171.1",1,1,2,44,"186-1",10,542.5,0,0,3
"171.2",1,1,2,44,"186-1",10,542.5,0,0,3
"172",1,1,2,45,"98-1",10,101.95,1,1,7
"172.1",1,1,2,45,"98-1",10,101.95,1,1,7
"172.2",1,1,2,45,"98-1",10,101.95,1,1,7
"172.3",1,1,2,45,"98-1",10,101.95,1,1,7
"172.4",1,1,2,45,"98-1",10,101.95,1,1,7
"172.5",1,1,2,45,"98-1",10,101.95,1,1,7
"172.6",1,1,2,45,"98-1",10,101.95,1,1,7
"173",1,1,2,45,"98-1",10,542.5,0,1,1
"174",1,1,2,45,"98-1",10,542.5,0,0,2
"174.1",1,1,2,45,"98-1",10,542.5,0,0,2
"175",1,1,2,46,"122-2",10,294.9833333,1,1,1
"176",1,1,2,46,"122-2",10,437.6333333,1,1,1
"177",1,1,2,46,"122-2",10,542.5,0,1,7
"177.1",1,1,2,46,"122-2",10,542.5,0,1,7
"177.2",1,1,2,46,"122-2",10,542.5,0,1,7
"177.3",1,1,2,46,"122-2",10,542.5,0,1,7
"177.4",1,1,2,46,"122-2",10,542.5,0,1,7
"177.5",1,1,2,46,"122-2",10,542.5,0,1,7
"177.6",1,1,2,46,"122-2",10,542.5,0,1,7
"178",1,1,2,46,"122-2",10,542.5,0,0,1
"179",1,1,2,47,"146-1",10,198.1666667,1,1,2
"179.1",1,1,2,47,"146-1",10,198.1666667,1,1,2
"180",1,1,2,47,"146-1",10,294.9833333,1,1,1
"181",1,1,2,47,"146-1",10,342.1333333,1,1,1
"182",1,1,2,47,"146-1",10,389.8833333,1,1,1
"183",1,1,2,47,"146-1",10,437.6333333,1,1,1
"184",1,1,2,47,"146-1",10,542.5,0,1,2
"184.1",1,1,2,47,"146-1",10,542.5,0,1,2
"185",1,1,2,47,"146-1",10,542.5,0,0,2
"185.1",1,1,2,47,"146-1",10,542.5,0,0,2
"186",1,1,2,48,"122-2",0,150.4,1,1,1
"187",1,1,2,48,"122-2",0,245.9666667,1,1,5
"187.1",1,1,2,48,"122-2",0,245.9666667,1,1,5
"187.2",1,1,2,48,"122-2",0,245.9666667,1,1,5
"187.3",1,1,2,48,"122-2",0,245.9666667,1,1,5
"187.4",1,1,2,48,"122-2",0,245.9666667,1,1,5
"188",1,1,2,48,"122-2",0,294.9833333,1,1,2
"188.1",1,1,2,48,"122-2",0,294.9833333,1,1,2
"189",1,1,2,48,"122-2",0,542.5,0,1,2
