,sampleid,line,X,rep,run,shelf,plate,trt,end,status,number,pedigree,planting.date,landrace.abb,region,pop,population.type,landrace.name,cultivation,main.use
138,CanAbasolo1,215-1,8504.1,4,8,5,176,15,114.25,0,5,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
139,CanAbasolo1,215-1,8102,4,8,2,56,20,500,0,2,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
140,CanAbasolo1,215-1,8099,4,8,2,56,20,211,1,1,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
141,CanAbasolo1,215-1,3252.4,2,3,9,322,15,156.7,1,6,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
142,CanAbasolo1,215-1,8103.2,4,8,2,56,20,500,0,4,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
143,CanAbasolo1,215-1,5586,3,6,1,17,0,167.99,1,1,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
144,CanAbasolo1,215-1,8618,4,8,6,207,0,308.5,1,1,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
145,CanAbasolo1,215-1,8505,4,8,5,176,15,356.75,0,1,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
146,CanAbasolo1,215-1,8616,4,8,6,207,0,163.6666667,1,1,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
147,CanAbasolo1,215-1,330,1,1,3,96,0,150.4333333,1,2,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
148,CanAbasolo1,215-1,802,1,1,7,237,10,440.2333333,1,1,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
149,CanAbasolo1,215-1,8502,4,8,5,176,15,114.25,1,2,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
150,CanAbasolo1,215-1,8503,4,8,5,176,15,211,1,1,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
