,X.1,sampleid,line,X,rep,run,shelf,plate,trt,end,status,number,pedigree,planting.date,landrace.abb,region,pop,population.type,landrace.name,cultivation,main.use,uniqueplate
3642,3642,CanEjutla1,190-1,489.2,1,1,4,140,0,246.1,1,3,14UNK190-1,11/10/14,CdA,central valleys,,landrace,Chile de Agua,Plantation,Fresh,1_140
3644,3644,CanEjutla1,190-1,886,1,1,8,262,10,Inf,0,1,14UNK190-1,11/10/14,CdA,central valleys,,landrace,Chile de Agua,Plantation,Fresh,1_262
3669,3669,CanEjutla1,190-1,489.1,1,1,4,140,0,246.1,1,3,14UNK190-1,11/10/14,CdA,central valleys,,landrace,Chile de Agua,Plantation,Fresh,1_140
3670,3670,CanEjutla1,190-1,884,1,1,8,262,10,198.6,1,2,14UNK190-1,11/10/14,CdA,central valleys,,landrace,Chile de Agua,Plantation,Fresh,1_262
3851,3851,CanEjutla3,191-2,2764.5,2,3,5,150,20,206.3,1,6,14UNK191-2,11/10/14,CdA,central valleys,,landrace,Chile de Agua,Plantation,Fresh,3_150
3852,3852,CanEjutla3,191-2,7366.2,4,7,3,102,0,344.8,1,3,14UNK191-2,11/10/14,CdA,central valleys,,landrace,Chile de Agua,Plantation,Fresh,7_102
3855,3855,CanEjutla3,191-2,4310.2,3,5,1,34,20,303.8,1,3,14UNK191-2,11/10/14,CdA,central valleys,,landrace,Chile de Agua,Plantation,Fresh,5_34
3856,3856,CanEjutla3,191-2,7364.1,4,7,3,102,0,203.7,1,3,14UNK191-2,11/10/14,CdA,central valleys,,landrace,Chile de Agua,Plantation,Fresh,7_102
3860,3860,CanEjutla3,191-2,2732.1,2,3,4,138,0,207.2,1,2,14UNK191-2,11/10/14,CdA,central valleys,,landrace,Chile de Agua,Plantation,Fresh,3_138
3864,3864,CanEjutla3,191-2,4384.1,3,5,2,52,15,303.8,1,2,14UNK191-2,11/10/14,CdA,central valleys,,landrace,Chile de Agua,Plantation,Fresh,5_52
3865,3865,CanEjutla3,191-2,2763.2,2,3,5,150,20,254.4,1,4,14UNK191-2,11/10/14,CdA,central valleys,,landrace,Chile de Agua,Plantation,Fresh,3_150
3869,3869,CanEjutla3,191-2,2802.7,2,3,5,163,15,157.5,1,10,14UNK191-2,11/10/14,CdA,central valleys,,landrace,Chile de Agua,Plantation,Fresh,3_163
3870,3870,CanEjutla3,191-2,4312.2,3,5,1,34,20,Inf,1,3,14UNK191-2,11/10/14,CdA,central valleys,,landrace,Chile de Agua,Plantation,Fresh,5_34
3872,3872,CanEjutla3,191-2,381.4,1,1,4,112,10,150.5,1,8,14UNK191-2,11/10/14,CdA,central valleys,,landrace,Chile de Agua,Plantation,Fresh,1_112
3873,3873,CanEjutla3,191-2,381.6,1,1,4,112,10,150.5,1,8,14UNK191-2,11/10/14,CdA,central valleys,,landrace,Chile de Agua,Plantation,Fresh,1_112
3878,3878,CanEjutla3,191-2,4310.1,3,5,1,34,20,303.8,1,3,14UNK191-2,11/10/14,CdA,central valleys,,landrace,Chile de Agua,Plantation,Fresh,5_34
3880,3880,CanEjutla3,191-2,7365,4,7,3,102,0,253,1,4,14UNK191-2,11/10/14,CdA,central valleys,,landrace,Chile de Agua,Plantation,Fresh,7_102
3881,3881,CanEjutla3,191-2,2802.5,2,3,5,163,15,157.5,1,10,14UNK191-2,11/10/14,CdA,central valleys,,landrace,Chile de Agua,Plantation,Fresh,3_163
3883,3883,CanEjutla3,191-2,2802.3,2,3,5,163,15,157.5,1,10,14UNK191-2,11/10/14,CdA,central valleys,,landrace,Chile de Agua,Plantation,Fresh,3_163
3885,3885,CanEjutla3,191-2,4382.1,3,5,2,52,15,207,1,3,14UNK191-2,11/10/14,CdA,central valleys,,landrace,Chile de Agua,Plantation,Fresh,5_52
3887,3887,CanEjutla3,191-2,2730,2,3,4,138,0,302.6,1,1,14UNK191-2,11/10/14,CdA,central valleys,,landrace,Chile de Agua,Plantation,Fresh,3_138
