"","X.1","sampleid","line","X","rep","run","shelf","plate","trt","end","status","number","pedigree","planting.date","landrace.abb","region","pop","population.type","landrace.name","cultivation","main.use","uniqueplate"
"1064",1064,"CanAnil3","77-1",7104,4,"7",1,25,10,203.7,1,3,"14CRo77-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","7_25"
"1069",1069,"CanAnil3","77-1",103.5,1,"1",1,29,0,150.3,1,10,"14CRo77-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","1_29"
"1070",1070,"CanAnil3","77-1",3173.2,2,"3",9,295,15,156.7,1,10,"14CRo77-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","3_295"
"1072",1072,"CanAnil3","77-2",3163.5,2,"3",8,288,15,157.1,1,10,"14CRo77-2","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","3_288"
"1074",1074,"CanAnil3","77-2",7746,4,"7",6,202,15,253,1,1,"14CRo77-2","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","7_202"
"1075",1075,"CanAnil3","77-2",5318.2,3,"5",8,278,15,156.8,1,3,"14CRo77-2","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","5_278"
"1078",1078,"CanAnil3","77-2",1867.4,1,"2",6,212,15,155.5,1,9,"14CRo77-2","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","2_212"
"1079",1079,"CanAnil3","77-2",1325.2,1,"2",2,68,20,156.2,1,3,"14CRo77-2","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","2_68"
"1081",1081,"CanAnil3","77-2",7743,4,"7",6,202,15,107.3,1,2,"14CRo77-2","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","7_202"
"1083",1083,"CanAnil3","77-2",1867.3,1,"2",6,212,15,155.5,1,9,"14CRo77-2","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","2_212"
"1085",1085,"CanAnil3","77-2",7745.1,4,"7",6,202,15,203.7,1,6,"14CRo77-2","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","7_202"
"1087",1087,"CanAnil3","77-2",3163.6,2,"3",8,288,15,157.1,1,10,"14CRo77-2","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","3_288"
