"","X","sampleid","line","rep","run","shelf","plate","trt","read.time","start","end","start.count","end.count","germinated","notes","pedigree","planting.date","landrace.abb","loc_id","region","pop","population.type","landrace.name","cultivation","main.use"
"97",2600,"CfrLaguna1","100-1",1,1,1,11,10,"2/1/16 8:32",294.92,342.03,8,9,1,"","14FBo100-1","11/10/14","FBo",18,"E Coast","FBo_9","landrace","Chile Bolita","Backyard","Fresh"
"98",2719,"CfrLaguna1","100-1",1,1,1,11,10,"2/3/16 8:23",342.03,389.88,9,9,0,"","14FBo100-1","11/10/14","FBo",18,"E Coast","FBo_9","landrace","Chile Bolita","Backyard","Fresh"
"99",2744,"CfrLaguna1","100-1",1,1,1,11,10,"2/5/16 8:08",389.88,437.63,9,9,0,"","14FBo100-1","11/10/14","FBo",18,"E Coast","FBo_9","landrace","Chile Bolita","Backyard","Fresh"
"100",2601,"CfrLaguna1","100-1",1,1,1,11,10,"",437.63,Inf,9,10,1,"","14FBo100-1","11/10/14","FBo",18,"E Coast","FBo_9","landrace","Chile Bolita","Backyard","Fresh"
"101",981,"CanLobera1","140-2",1,1,1,12,15,"1/20/16 8:30",0,54,0,0,0,"","14CAg140-2","11/10/14","CAg",14,"Central Valleys","CAg_26","landrace","Chile de Agua","Milpa","Fresh"
"102",1025,"CanLobera1","140-2",1,1,1,12,15,"1/22/16 8:24",54,101.9,0,0,0,"","14CAg140-2","11/10/14","CAg",14,"Central Valleys","CAg_26","landrace","Chile de Agua","Milpa","Fresh"
"103",1029,"CanLobera1","140-2",1,1,1,12,15,"1/24/16 8:50",101.9,150.33,0,1,1,"","14CAg140-2","11/10/14","CAg",14,"Central Valleys","CAg_26","landrace","Chile de Agua","Milpa","Fresh"
"104",1008,"CanLobera1","140-2",1,1,1,12,15,"1/26/16 8:37",150.33,198.12,1,1,0,"","14CAg140-2","11/10/14","CAg",14,"Central Valleys","CAg_26","landrace","Chile de Agua","Milpa","Fresh"
"105",1026,"CanLobera1","140-2",1,1,1,12,15,"1/28/16 8:28",198.12,245.97,1,2,1,"","14CAg140-2","11/10/14","CAg",14,"Central Valleys","CAg_26","landrace","Chile de Agua","Milpa","Fresh"
"106",995,"CanLobera1","140-2",1,1,1,12,15,"1/30/16 9:25",245.97,294.92,2,2,0,"","14CAg140-2","11/10/14","CAg",14,"Central Valleys","CAg_26","landrace","Chile de Agua","Milpa","Fresh"
"107",1031,"CanLobera1","140-2",1,1,1,12,15,"2/1/16 8:32",294.92,342.03,2,2,0,"","14CAg140-2","11/10/14","CAg",14,"Central Valleys","CAg_26","landrace","Chile de Agua","Milpa","Fresh"
"108",1005,"CanLobera1","140-2",1,1,1,12,15,"2/3/16 8:23",342.03,389.88,2,2,0,"","14CAg140-2","11/10/14","CAg",14,"Central Valleys","CAg_26","landrace","Chile de Agua","Milpa","Fresh"
